date,headline,sentiment_label,sentiment_score,company,next_month_return,impact
2023-05-01,[Delayed] META: 1Q23 Key Takeaways,neutral,0.5,META,-1.6201990295254487,-1.0
2023-11-01,[Delayed] META: Pros & Cons from 3Q23,neutral,0.5,META,-0.3142536475869817,0.0
2023-10-01,"AMZN: Amazon testing 'Buy Again' feature on app, WSJ reports",neutral,0.5,AMZN,,
2023-09-01,AMZN: Amazon announces Prime Big Deal Days,neutral,0.5,AMZN,0.0,0.0
2023-09-01,AMZN:  FAA authorizes UPS Flight Forward and uAvionix for longer drone flights,neutral,0.5,AMZN,0.0,0.0
2023-07-01,[Delayed] GOOGL: Google SGE and Advertising Call Takeaways,neutral,0.5,GOOGL,,
2023-06-01,[Delayed] Amazon.com: AMZN 40%+ of US E-Comm & Should Be Largest US Retailer in ‘24; We Think E-Comm Could Be 40%+ of Retail L,positive,1.0,AMZN,1.2055062311639775,1.0
2023-06-01,[Delayed] Internet: Updating JPM US E-Comm Model; Expect Modestly Higher Growth & Share Gains Through 2023; AMZN Best Idea,positive,1.0,AMZN,1.2055062311639775,1.0
2023-04-01,"[Delayed] Internet: Thoughts on 1Q E-Commerce, AMZN & EBAY Previews; 1Q Decel, But Expectations Low & Comps Manageable; AMZN",positive,1.0,AMZN,,
2023-04-01,AMZN: Ofcom proposes to refer U.K. cloud market for investigation,neutral,0.5,AMZN,,
2023-03-01,"[Delayed] Internet: Updating JPM US E-Comm Model; Expecting 8% E-Comm Growth, Accelerating & Gaining Share Through ‘23; AMZN a",positive,1.0,AMZN,-0.043398068785949206,0.0
2023-02-01,[Delayed] Amazon.com: AMZN 10-K Key Takeaways,neutral,0.5,AMZN,7.37993342843557,1.0
2023-01-01,"[Delayed] Internet: Thoughts on 4Q E-Commerce, AMZN & EBAY Previews; Decent 4Q Against Low Expectations; AMZN Best Idea",positive,1.0,AMZN,,
2023-01-01,[Delayed] Internet: Survey Says Investors Expect Internets to Slightly Outperform SPX in ‘23; META Favorite Mega-Cap; MTCH &,positive,1.0,META,,
2023-12-01,AMZN: Amazon.com resumed with a Strong Buy at Raymond James,positive,1.0,AMZN,-1.4894919404203177,-1.0
2023-12-01,Is Amazon Stock A Buy After AMZN Hit A New 52-Week High?,neutral,0.5,AMZN,-1.4894919404203177,-1.0
2023-12-01,AMZN: Amazon.com CEO: Have to pay attention to some of the danger of generative AI,neutral,0.5,AMZN,-1.4894919404203177,-1.0
2023-12-01,"GOOGL: Microsoft got an AI boost, it's far from over, Barron's says",positive,1.0,GOOGL,-1.9642044592749874,-1.0
2023-11-01,AMZN: Amazon debuts AI-powered Amazon Titan Image Generator,neutral,0.5,AMZN,0.781021897810219,0.0
2023-11-01,"AMZN: Amazon cloud division head criticizes Microsoft's OpenAI turmoil, FT says",negative,0.0,AMZN,0.781021897810219,0.0
2023-11-01,"AMZN: Amazon debuts Q, a generative A.I.  'powered assistant designed for work'",neutral,0.5,AMZN,0.781021897810219,0.0
2023-11-01,"AMZN: AWS, Nvidia announce strategic collaboration over generative AI",positive,1.0,AMZN,0.781021897810219,0.0
2023-11-01,"AMZN: OpenAI's customers consider defecting to Google, others, The Information says",neutral,0.5,AMZN,0.781021897810219,0.0
2023-11-01,"AMZN: Amazon cutting 'several hundred' Alexa jobs, Reuters reports",negative,0.0,AMZN,0.781021897810219,0.0
2023-11-01,"AMZN: Amazon working on new conversational AI software, Information reports",neutral,0.5,AMZN,0.781021897810219,0.0
2023-11-01,Is Amazon Stock A Buy As AMZN Shows Strength After Earnings Beat?,positive,1.0,AMZN,0.781021897810219,0.0
2023-11-01,AMZN: AWS announces Amazon EC2 Capacity blocks for ML workloads,negative,0.0,AMZN,0.781021897810219,0.0
2023-10-01,"NVDA: Biden issues executive order on 'safe, secure, and trustworthy' AI",neutral,0.5,NVDA,,
2023-10-01,AMZN: Amazon introduces AI-powered image generation to help advertisers,positive,1.0,AMZN,,
2023-10-01,AMZN: DA Davidson technology analysts hold an analyst/industry conference call,neutral,0.5,AMZN,,
2023-10-01,"NVDA: Nvidia spreads into AWS territory with 'cloud service,' The Information says",positive,1.0,NVDA,,
